-ла	к,б
луғатчилик	о
луғатшунос	о
люизит	о
люк	о
люкс	о
люксметр	о
люмбаго	о
люмен	о
люменисценция	о
люмпен-пролетариат	о
люстра	о
лютеций	о
ля	о
ляпис	о
лўк	о
лўкидон	о
лўкилламоқ	ф
лўкки	о
лўк-лўк	т
лўкча	о
лўла	о
лўли	о
лўливаш	с
лўлилар	о
лўлилик	о
лўмбиллаб	р
лўмбиллаган	с
лўмбоз	о
лўмбоздай	с
лўнда	с
лўп	т
лўппак	с
лўппи	с
лўпчик	о
лўттибоз	о
лўтиибозлик	о
лўя	о
лўқ	т
лўқилламоқ	ф
лўқ-лўқ	р
